Address,Zip Code,Cuisine,Longitude,insertedAtTimestamp,Number of Reviews,Latitude,Open,Business_ID,Rating,Name
31 Great Jones St,10012,pizza,-73.99319,06/10/2019 16:18:23,432,40.72693,N/A,xbrQ2dHuQoFJmNxAuOky4A,4,Vic's
554 Vanderbilt Ave,11238,italian,-73.96832,06/10/2019 16:19:54,227,40.6800799,N/A,z4CzSOnngC2RaTEC_BgUWA,4,Cataldo's Restaurant
65 2nd Ave,10003,healthy,-73.9897361397743,06/10/2019 16:20:57,209,40.7260849061034,N/A,PqqnNrUtU7XTKQvUM4cyqQ,4.5,Bar Verde
360 West 42nd St,10036,dessert,-73.99234,06/10/2019 15:41:33,23,40.75814,N/A,h0P_Gm_osKpl9EYhtEGY5g,3.5,BÀO Tea House
372 Lafayette St,10012,mexican,-73.9938924,06/10/2019 16:15:35,261,40.7271874,N/A,FkA9aoMhWO4XKFMTuTnl4Q,3.5,Atla
163 East 33rd St,10016,brunch,-73.9791478306885,06/10/2019 15:44:29,929,40.7454079308793,N/A,csVEpHy5KJoFvM1qp5XwLQ,4,Le Parisien
138 Division St,10002,american,-73.9915559401866,06/10/2019 16:18:05,178,40.714498871349,N/A,YKfj-CUjgb9xQ1kN_bhNLg,4,Forgtmenot
123 W 52nd St,10019,seafood,-73.98063,06/10/2019 15:37:54,533,40.76173,N/A,3Gz07E5YJjDTJPSuzsAStQ,4.5,Ocean Prime
273 W 38th St,10018,chinese,-73.9912518276348,06/10/2019 16:15:30,65,40.754589387013,N/A,MXstrG3HjF83LcxAd8OpTw,4,New Li Yuan
489 5th Ave,11215,mexican,-73.987365,06/10/2019 16:20:14,241,40.667476,N/A,X8Tg6XHKERw-vdWRU4oH3Q,3.5,Nuevo Mexico Bar & Restaurant
231 2nd Ave,10003,seafood,-73.985103,06/10/2019 16:17:13,398,40.73263,N/A,6ztuhNteBxQB334A98iP8g,3.5,Bait & Hook
101 Montague St,11201,thai,-73.99544,06/10/2019 16:02:34,450,40.69533,N/A,SBy46BviyBKowPjbTjDsHQ,3.5,Lantern
575 Henry St,11231,italian,-74.00024,06/10/2019 16:05:53,1427,40.6818,N/A,Q9F2ocrmYuGt1yn3M7MOBw,4.5,Lucali
3600 Broadway,10031,thai,-73.948674,06/10/2019 16:14:24,666,40.828384,N/A,NebgteFykeM1gwiVgPcCHw,4,The Handpulled Noodle
587 Malcolm X Blvd,10037,chinese,-73.9386375,06/10/2019 15:02:57,5,40.8175143,N/A,MJwyoXJrN7UmqWcWQ5rG1w,3,King Chef
90 Kent Ave,11211,healthy,-73.962117,06/10/2019 16:01:41,16,40.721483,N/A,TsKgADLajLy7KCqkBGYe-g,3.5,Monk's Meats
10 E 39th St,10016,korean,-73.98153,06/10/2019 16:11:55,521,40.75116,N/A,xFp3xSQ43J-i7nmJfNBsZA,4,Norikoh
7 St Marks Pl,10003,thai,-73.989181,06/10/2019 15:14:27,1065,40.729507,N/A,nFszVPUX4tj-oarjfBO0nw,3.5,Klong
1402 86th St,11228,healthy,-74.01177,06/10/2019 16:09:22,109,40.61246,N/A,PupuaqKJrZLtgM36e9fdiA,4,Baby Olive
1948 Williamsbridge Rd,10461,japanese,-73.8534942,06/10/2019 15:01:07,76,40.8532877,N/A,kCk2uqmmJBQ80iLuncNhlQ,3.5,Kiraku Sushi
78 E 1st St,10009,indian,-73.9879441220901,06/10/2019 16:05:31,607,40.7232289034083,N/A,noBCTbD1Ylf5QR7PXy-rkA,4,Cafe Himalaya
179 Warren St,07302,brunch,-74.039954,06/10/2019 15:43:24,320,40.713262,N/A,3GP-tY5GWuOsiYRsycm7Lg,4,White Star Warren
144 Union St,11231,seafood,-74.0018,06/10/2019 16:17:21,312,40.68396,N/A,TCJrcryBkI6eg2HYThoiKg,4,Petite Crevette
514 Central Ave,07307,thai,-74.0450168028474,06/10/2019 15:38:13,193,40.7520188580028,N/A,KISxxrvjxx5qrayhcASl5w,4,Noodlefan
195 Newark Ave,07302,dessert,-74.04603,06/10/2019 16:19:45,273,40.72125,N/A,ehJBqB3YknAZOrupJNqB8g,3.5,Cookies N' Crepes
16 W 8th St,10011,chinese,-73.99752,06/10/2019 16:10:43,172,40.73264,N/A,XaEFFUabnbH8ZF7ccmSAlQ,4,South Of The Clouds
1070 1st Ave,10022,pizza,-73.96212,06/10/2019 16:11:24,141,40.75911,N/A,07CFPHGST8k37uHYAGxYqQ,4.5,Pink Moose
562 Grand Ave,07631,japanese,-73.984315,06/10/2019 15:38:58,30,40.876137,N/A,MNAopIry2_9y3cEimy5cqg,4.5,Kyou Ramen
3570 Broadway,10031,dessert,-73.9494765934278,06/10/2019 16:12:47,201,40.8273399113877,N/A,LJ0y9Kkfpo8RCVYSQIseIw,4,Hamilton's Bakery
27-20 Jackson Ave,11101,dessert,-73.94032,06/10/2019 15:38:21,50,40.74753,N/A,b8k_PXdudXPAJ4kEHA5WAw,4.5,Ice & Vice
787 9th Ave,10019,indian,-73.98813,06/10/2019 15:39:10,472,40.76515,N/A,IFZ3_d01uflGixWrrD8_gg,4,Ariana Afghan Kebab Restaurant
151 Wilkins Ave,10573,dessert,-73.66101,06/10/2019 14:41:27,5,41.00715,N/A,P-Pn5p3_81kk9IN8_xCtuA,3.5,Longford's Own Made Ice Cream
321 Starr St,11237,healthy,-73.92068,06/10/2019 14:44:30,6,40.70783,N/A,NdCM7xuYyS7RG7hXcEGyRQ,4.5,The Ledge
77 N 6th St,11249,japanese,-73.96081,06/10/2019 16:18:15,969,40.71897,N/A,DpZ7Xaub8Lhpg7VJdHaPpg,4,Zenkichi New York
5-50 50th Ave,11101,vietnamese,-73.9546699,06/10/2019 16:19:18,177,40.74259,N/A,enDIsmxSG2bQccQWgGNcbg,4,Takumen
377 Amsterdam Ave,10024,mexican,-73.97856,06/10/2019 16:11:03,70,40.78251,N/A,10tnq8x2qI7ix7VqVP0rMw,4,Tacombi - Upper West Side
99 Allen St,10002,brunch,-73.990966,06/10/2019 16:16:27,355,40.718906,N/A,kuKSvCZDFrgOrY-dcrOefg,4.5,Round K
71-22 Roosevelt Ave,11372,korean,-73.8940372,06/10/2019 16:16:33,628,40.746559,N/A,Ab-oC8Wm_R73gWQYOUW_xA,3.5,Unidentified Flying Chickens
202 W Fordham Rd,10468,mexican,-73.9093167,06/10/2019 16:04:01,29,40.8624202,N/A,MdutW7BuBGmVUPdagNfHvA,4,Taco's El Paisanito
1435 Broadway,10018,pizza,-73.9870039190341,06/10/2019 14:58:50,874,40.7545841255557,N/A,KEEXuHCYhsQJ-zpJhu98bA,4,Joe's Pizza
514 Kings Hwy,11223,healthy,-73.970546,06/10/2019 16:20:57,30,40.604143,N/A,zceiZzaEagVuXgD9djDKBg,3.5,The Juice Theory
1650 Saint Nicholas Ave,10040,dessert,-73.9283472209039,06/10/2019 15:02:39,1,40.8565946065594,N/A,dVYCjeYgPZr6fI_wwKPYbg,5,Bienangy' Rinconcito Dulce
178 Lincoln Pl,11217,vietnamese,-73.9743590354919,06/10/2019 15:14:36,267,40.6756340357915,N/A,dH7jsvPhb6xhQkIu8Pv5jw,4,Banhmigos
68 Greenpoint Ave,11222,vietnamese,-73.958244,06/10/2019 14:45:14,130,40.729526,N/A,1xJV03v3g3oP3G5oDlWuoQ,4,Di An Di
2179 3rd Ave,10035,indian,-73.93855,06/10/2019 15:40:35,210,40.79965,N/A,bgMbt6XbOaAu5VNXr5kCdQ,4,Polash
1304 2nd Ave,10065,italian,-73.9598,06/10/2019 15:37:58,53,40.76652,N/A,fyC2cBsQ0FsMJmv0jSworg,4,Donna Margherita
179 Rectory St,10573,dessert,-73.66082,06/10/2019 15:12:53,162,41.0094,N/A,3yxcngyQT7gZ_5fvIOm2Ng,3.5,Sonora
