num,Name,Address,Postcode,Type,Latitude,Longitude,Category,Rating
68,ABC Cocina,38 E 19th St,10003,mexican,40.73796998,-73.9892807,restaurant,3.5
69,ABCV,38 E 19th St,10003,healthy,40.73790398,-73.98887401,restaurant,4
70,Abeetz,null,10605,dessert,41.0112762,-73.7419017,restaurant,4
71,Abiko Curry,2 W 32nd St,10001,vietnamese,40.74742597,-73.98621794,restaurant,4
72,Abuqir Seafood,24-19 Steinway St,11103,seafood,40.7683,-73.9110794,restaurant,4.5
73,Acapulco,1116 Manhattan Ave,11222,mexican,40.7367,-73.95517,restaurant,4.5
74,Accent Thai Kitchen,631 Mclean Ave,10705,thai,40.9091134,-73.8792337,restaurant,4
75,Acme Smoked Fish,30 Gem St,11222,seafood,40.72542,-73.95662,restaurant,3.5
76,Acqua Restaurant NYC,"21 Peck Slip, Water St",10038,italian,40.7082567,-74.001797,restaurant,4.5
77,Acuario Restaurant,163 N Main St,10573,brunch,41.00383,-73.66036,restaurant,4
78,Adda,31-31 Thomson Ave,11101,indian,40.74507,-73.93415,restaurant,4.5
79,Adella,410 W 43rd St,10036,american,40.7594098,-73.9929134,restaurant,5
80,Adrienne's Pizzabar,54 Stone St,10004,pizza,40.7043362,-74.0101733,restaurant,4
81,Adyar Ananda Bhavan,1071 1st Ave,10022,indian,40.759381,-73.962489,restaurant,3
82,Afghan Kabab and Grill House,1015 Manhattan Ave,11222,indian,40.73359,-73.95498,restaurant,3.5
83,Afghan Kebab House II,1345 2nd Ave,10021,indian,40.768066,-73.959243,restaurant,4
84,Agave,140 7th Ave S,10014,mexican,40.734767,-74.002415,restaurant,4.5
85,Agave - New York,488 3rd Ave,10016,mexican,40.734999,-74.002438,restaurant,3.5
86,Ageha Sushi,767 9th Ave,10019,japanese,40.764529,-73.988597,restaurant,4
87,Agra Grill,3835 White Plains Rd,10467,indian,40.88465,-73.86244,restaurant,4
88,Agra Heights,226 Wilson Ave,11237,indian,40.698017,-73.921467,restaurant,4
89,Agra Taj Mahal,1005 Manhattan Ave,11222,indian,40.7332729,-73.9550299,restaurant,4
90,Ahimsa Garden,265 E 10th St,10009,healthy,40.72849,-73.98319,restaurant,4
91,Air's,127 Macdougal St,10012,seafood,40.73059772,-74.00019866,restaurant,5
92,Aita Trattoria,798A Franklin Ave,11238,italian,40.67120951,-73.95792556,restaurant,4
93,Aiyara Thai,480 9th Ave,10018,thai,40.75507347,-73.99486721,restaurant,4.5
94,A-jiao,1817 2nd Ave,10128,chinese,40.783159,-73.948244,restaurant,4
95,Akariba,77 N 6th St,11249,japanese,40.7189722,-73.9608301,restaurant,3.5
96,Akino,82-80 Broadway,11373,japanese,40.7411784,-73.8814239,restaurant,4.5
97,Ako,205 Bedford Ave,11211,japanese,40.7169049,-73.9585858,restaurant,4
98,Akrotiri Seafood Taverna,29-20 30th Ave,11102,seafood,40.76748178,-73.92275947,restaurant,3.5
99,Al Aqsa Restaurant,2107 Starling Ave,10462,indian,40.83623,-73.85483,restaurant,4.5
100,Al Dente Pizzeria & Restaurant,7 Elm Pl,10580,italian,40.9832765,-73.6851865,restaurant,4.5
101,Al Di La Trattoria,248 5th Ave,11215,italian,40.67533264,-73.98134048,restaurant,4.5
102,Al Horno Lean Mexican Kitchen,1089 2nd Ave,10022,mexican,40.75967,-73.96525,restaurant,4
103,Alachi Masala,488 Amsterdam Ave,10024,indian,40.78616,-73.97635,restaurant,4.5
104,Alba's  Restaurant,400 N Main St,10573,italian,41.008047,-73.657726,restaurant,4.5
105,Alba's Pizza & Restaurant,3620 Ditmars Blvd,11105,pizza,40.77375,-73.90778,restaurant,4
106,Aliada,2919 Broadway,11106,seafood,40.7626,-73.92616,restaurant,4
107,Alice's Tea Cup,102 W 73rd St,10023,dessert,40.77802,-73.9787,restaurant,4
108,Alice's Tea Cup Chapter II,156 E 64th St,10065,brunch,40.76518,-73.96576,restaurant,4.5
109,Alice's Tea Cup To Go,43 Hicks St,11201,dessert,40.70037,-73.99331,restaurant,4
110,Alimama,89A Bayard St,10013,dessert,40.71586269,-73.99928509,restaurant,3.5
111,Ali's Roti Shop,4220 White Plains Rd,10466,indian,40.894,-73.85684,restaurant,4
112,Alison,1651 Lexington Ave,10029,american,40.79095616,-73.94699045,restaurant,4
113,All About Indian Food,443 Bushwick Ave,11206,indian,40.702309,-73.936897,restaurant,4
114,Alley 41,136-45 41st Ave,11355,chinese,40.75911,-73.828,restaurant,4.5
115,Allora Ristorante,145 E 47th St,10017,italian,40.75433,-73.97277,restaurant,4
116,Alma Restaurant,187 Columbia St,11231,mexican,40.68557,-74.00215,restaurant,4
117,AlMar,111 Front St,11201,brunch,40.702662,-73.989177,restaurant,3.5
118,Almond,12 E 22nd St,10010,brunch,40.74008179,-73.98875427,restaurant,4
119,Almondine Bakery,85 Water St,11201,dessert,40.7033174,-73.9912506,restaurant,3.5
120,Alphonso's Pizzeria & Trattoria,525 Grand St,10002,pizza,40.7143,-73.98172,restaurant,3
121,Al-Sham Sweets & Pastries,24-39 Steinway St,11103,dessert,40.76796,-73.91135,restaurant,3.5
122,Altesi Downtown,200 Spring St,10012,pizza,40.72511,-74.00333,restaurant,2.5
123,Am Thai Bistro,1003 Church Ave,11218,thai,40.646825,-73.970082,restaurant,4
124,Ama Coffee,6047 Myrtle Ave,11385,vietnamese,40.70072875,-73.89671154,restaurant,4.5
125,Am̩lie,22 W 8th St,10011,dessert,40.7327,-73.99766,restaurant,4.5
126,Amami Bar and Restaurant,57 Nassau Ave,11222,japanese,40.723548,-73.952194,restaurant,4
127,Aman,3594 Jerome Ave,10452,indian,40.885147,-73.8794078,restaurant,3.5
128,Amano Sushi,50 Eldridge St,10002,japanese,40.71607,-73.99293,restaurant,4
129,Amaranto Mexican Restaurant,887 Hart St,11237,mexican,40.703111,-73.921892,restaurant,4
130,Amarin Cafe,617 Manhattan Ave,11222,thai,40.72345,-73.95087,restaurant,4.5
131,Amata,209 E 56th St,10022,italian,40.759426,-73.967063,restaurant,4.5
132,Amber,103 W 70th St,10023,vietnamese,40.77640533,-73.97987366,restaurant,3
133,Amber Sushi Asian Bistro,2960 Middletown Rd,10461,vietnamese,40.84292835,-73.8312765,restaurant,4
134,Amelia Grilled Burrito,690 Metropolitan Ave,11211,mexican,40.7142741,-73.94591,restaurant,4
135,Amelie,566 Amsterdam Ave,10024,brunch,40.78875,-73.97464,restaurant,3.5
136,American Cut Steakhouse Tribeca,363 Greenwich St,10013,american,40.71915,-74.00994,restaurant,3.5
137,Amici Ristorante,165 Mulberry St,10013,italian,40.71981,-73.99722,restaurant,4
138,Aminas Cafe,890 Morris Ave,10451,mexican,40.82617,-73.91794,restaurant,2.5
139,Amma,246 E 51st St,10022,indian,40.75554,-73.96874,restaurant,4
140,Ammazzacaff̬,702 Grand St,11211,italian,40.7113172,-73.9446243,restaurant,3.5
141,Amore Pizzeria & Italian Kitchen,1 Kent Pl,10504,italian,41.1249367,-73.7148396,restaurant,4
142,Amorino Gelato,414 Amsterdam Ave,10024,dessert,40.78379,-73.97825,restaurant,4
143,Amorino Gelato,721 8th Ave,10036,dessert,40.7595642,-73.9884984,restaurant,4.5
144,Amorino Gelato,162 8th Ave,10011,dessert,40.742244,-74.000377,restaurant,4
145,Ampersand,294 3rd Ave,10010,american,40.73861788,-73.98342069,restaurant,5
146,Ample Hills Creamery,623 Vanderbilt Ave,11238,dessert,40.67855736,-73.96847467,restaurant,4
147,Ample Hills Creamery,Brooklyn Bridge Park,11201,dessert,40.69453438,-74.00062802,restaurant,4
148,Ample Hills Creamery,141 8th Ave,10011,dessert,40.741658,-74.001366,restaurant,4.5
149,Ample Hills Creamery,73 Gansevoort St,10014,dessert,40.7395082,-74.0076636,restaurant,4
150,Amura Japanese,1567 2nd Ave,10028,japanese,40.775001,-73.9542,restaurant,4
151,Amused,142 W 83rd St,10024,brunch,40.78503418,-73.97544098,restaurant,3.5
