Name,Address,Postcode,Type,Latitude,Longitude,Category
DiwaneKhaas,53 Nassau St,10038,indian,40.70903,-74.00912,restaurant
Go! Go! Curry!,12 John St,10038,japanese,40.7098966,-74.0090997,restaurant
Masa y Agave,41 Murray St,10007,mexican,40.71409,-74.00903,restaurant
Zutto Japanese American Pub,77 Hudson St,10013,japanese,40.71847,-74.00903,restaurant
Aroy Dee Thai Kitchen,20 John St,10038,vietnamese,40.7096786,-74.0089569,restaurant
Kuu Ramen,20 John St,10038,japanese,40.7096786,-74.0089569,restaurant
Tamarind,99 Hudson St,10013,indian,40.71909,-74.00892,restaurant
Manhatta,28 Liberty St,10005,american,40.70797,-74.0088899,restaurant
Jungsik,2 Harrison St,10013,japanese,40.71859102,-74.00888443,restaurant
Nobu Downtown,195 Broadway,10007,japanese,40.711203,-74.008879,restaurant
Ecco,124 Chambers St,10007,italian,40.715129,-74.008865,restaurant
sweetgreen,125 Chambers St,10007,healthy,40.715519,-74.0088438,restaurant
SIMÒ PIZZA,90-92 Gansevoort St,10014,pizza,40.73925976,-74.00881307,restaurant
Mr Chow,121 Hudson St,10013,chinese,40.7201045,-74.0087721,restaurant
Wasabi Sushi & Bento,200 Broadway,10038,japanese,40.71049447,-74.00875535,restaurant
Los Tacos No.1,136 Church St,10007,mexican,40.71424,-74.00869,restaurant
Los Tacos No. 1,136 Church St,10007,mexican,40.714282,-74.008675,restaurant
&pizza,63 Wall St,10005,pizza,40.70579,-74.00859,restaurant
Khe-Yo,157 Duane St,10013,thai,40.716906,-74.008587,restaurant
&pizza,63 Wall St,10005,pizza,40.705765,-74.008547,restaurant
The Wooly Public,9 Barclay St,10007,american,40.71219846,-74.0084869,restaurant
Santina,820 Washington St,10014,italian,40.739618,-74.008443,restaurant
brooklyn steak & lobster,220 36th St,11232,seafood,40.65663,-74.00843,restaurant
sweetgreen,67 Wall St,10005,healthy,40.705586,-74.008382,restaurant
d Elici,71 Nassau St,10038,healthy,40.70971265,-74.00838198,restaurant
Oaxaca Taqueria,87 Beaver St,10005,mexican,40.70544737,-74.00836418,restaurant
Max,134 W Broadway,10013,italian,40.71688,-74.00835,restaurant
Little Italy Pizza,11 Park Pl,10007,pizza,40.713,-74.00834,restaurant
Ejen Korean Comfort Food,254 36th St,11232,korean,40.6564113,-74.0082717,restaurant
Proper Food,67 Wall St,10005,healthy,40.70564,-74.00827,restaurant
Takahachi Bakery,25 Murray St,10007,korean,40.71393,-74.00822,restaurant
Seafood Island,769 57th St,11220,seafood,40.63742235,-74.00819667,restaurant
Taza Mkt,254 36th St,11232,indian,40.65630573,-74.00819281,restaurant
Saravana Bhavan,32 Old Slip,10005,indian,40.7038,-74.00816,restaurant
Malaparte,753 Washington St,10014,healthy,40.73687,-74.00812,restaurant
Aahar Indian Cuisine,10 Murray St,10007,indian,40.71334,-74.0081,restaurant
Bangkok BAR,238 36th St,11232,thai,40.6563098,-74.0080235,restaurant
Dona Bella Pizza,154 Church St,10007,pizza,40.7151444,-74.0080027,restaurant
Pronto Pizza,141 Fulton St,10038,pizza,40.71045,-74.00799,restaurant
Nish Nush,41 John St,10038,healthy,40.709472,-74.007949,restaurant
Takahachi Tribeca Restaurant,145 Duane St,10013,japanese,40.71659,-74.007919,restaurant
Blue Ribbon Federal Grill,84 William St,10038,american,40.70803,-74.00785,restaurant
Thanh Da II,5624 8th Ave,11220,vietnamese,40.63736,-74.00783,restaurant
Gran Morsi,22 Warren St,10007,italian,40.71420524,-74.00775355,restaurant
A Saffron Thread Fresh Indian,98 Chambers St,10007,indian,40.71461,-74.00774,restaurant
Joe's Pizza,124 Fulton St,10038,pizza,40.71012977,-74.00772069,restaurant
Nish Nush,88 Reade St,10013,healthy,40.715688,-74.007695,restaurant
Crown Shy,70 Pine St,10005,american,40.7063449,-74.0076944,restaurant
Taim FiDi,75 Maiden Ln,10038,healthy,40.70769,-74.00767,restaurant
Beyond Sushi,70 Pine St,10270,healthy,40.706433,-74.00766,restaurant
Pakistan Tea House,176 Church St,10013,indian,40.715671,-74.007652,restaurant
Tacos Matamoros,4508 5th Ave,11220,mexican,40.64781878,-74.00763835,restaurant
Burger N Grill,176 Church St,10013,indian,40.71561,-74.00762,restaurant
El Cantante,110 Leroy St,10014,mexican,40.73019,-74.00762,restaurant
Pisillo Italian Panini,97 Nassau St,10038,italian,40.710558,-74.007594,restaurant
Vietspot,99 Nassau St,10038,vietnamese,40.71054735,-74.00756372,restaurant
Del Posto,85 10th Ave,10011,italian,40.7434156,-74.00753301,restaurant
Renegades of Sunset,254 36th St,11232,healthy,40.655908,-74.007526,restaurant
Famous Famiglia Pizzeria,83 Maiden Ln,10007,pizza,40.70745,-74.00748,restaurant
Old Xi'an,164 Pearl St,10005,chinese,40.70591,-74.00747,restaurant
Avocaderia,254 36th St,11232,healthy,40.65602,-74.00742,restaurant
Local & Vine,282 Hudson St,10013,american,40.72528,-74.0074,restaurant
Vanessa's Dumpling House,70 Pine St,10005,chinese,40.70635381,-74.0073758,restaurant
JeJu Noodle Bar,679 Greenwich St,10014,korean,40.73304,-74.00734,restaurant
Giardino D'oro,5 Gold St,10038,italian,40.707537,-74.007226,restaurant
Tribeca's Kitchen,200 Church St,10013,american,40.71627055,-74.00722259,restaurant
Sheezan Restaurant,183 Church St,10007,indian,40.71566,-74.00717,restaurant
Roti Modern Mediterranean,100 Maiden Ln,10038,healthy,40.706518,-74.007133,restaurant
Morimoto,88 10th Ave,10011,korean,40.74332,-74.00713,restaurant
Felice,15 Gold St,10038,american,40.70789,-74.00712,restaurant
Walker's,16 N Moore St,10013,american,40.71972,-74.00707,restaurant
EN Japanese Brasserie,435 Hudson St,10014,japanese,40.7306,-74.00698,restaurant
Fields Good Chicken,101 Maiden Ln,10038,healthy,40.70698382,-74.00693464,restaurant
Harry's Italian,2 Gold St,10038,italian,40.70755532,-74.00689817,restaurant
Dos Toros Taqueria,101 Maiden Ln,10038,mexican,40.70694053,-74.00688302,restaurant
Magic Mix Juicery,102 Fulton St,10038,healthy,40.70961,-74.006735,restaurant
Temple Court,5 Beekman St,10038,american,40.71132,-74.00671,restaurant
Beyond Sushi,75 9th Ave,10011,healthy,40.74246753,-74.00663249,restaurant
The Leroy House,430 Hudson St,10014,healthy,40.73063,-74.00661,restaurant
Gia Lam II,5414 8th Ave,11220,vietnamese,40.63871,-74.006577,restaurant
Il Mattone West Village,450 Hudson St,10014,italian,40.7312509,-74.0065302,restaurant
RedFarm,529 Hudson St,10014,chinese,40.7342,-74.00652,restaurant
Decoy,529 Hudson St,10014,chinese,40.734196,-74.006519,restaurant
Takashi,456 Hudson St,10014,korean,40.7313524,-74.0065048,restaurant
Merriweather Coffee + Kitchen,428 Hudson St,10014,healthy,40.7305599,-74.0065,restaurant
Terra Wine Bar,222 W Broadway,10013,italian,40.71928,-74.00647,restaurant
Artichoke Basille's Pizza,114 10th Ave,10011,pizza,40.74402393,-74.00642203,restaurant
Flip Sigi,525 Hudson St,10014,mexican,40.73405,-74.00642,restaurant
Japan Village,934 3rd Ave,11232,japanese,40.65597,-74.00641,restaurant
Sushi Uesugi,934 3rd Ave,11232,japanese,40.65604323,-74.00640663,restaurant
Maxwell's Bar & Restaurant,59 Reade St,10007,american,40.7147585,-74.0064063,restaurant
Okuda,458 W 17th St,10011,japanese,40.74379294,-74.00639842,restaurant
Katana Kitten,531 Hudson St,10014,japanese,40.73425,-74.00639,restaurant
Catch NYC,21 9th Ave,10014,seafood,40.740234,-74.006342,restaurant
Wild,535 Hudson St,10014,healthy,40.73474,-74.00632,restaurant
Distilled,211 W Broadway,10013,american,40.7189994,-74.0062975,restaurant
Restaurant  Taqueria El Maguey,3917 4th Ave,11232,mexican,40.652107,-74.006272,restaurant
brodo Broth Co.,496 Hudson St,10014,healthy,40.73288,-74.00625,restaurant
Very Fresh Noodles,425 W 15th St,10011,thai,40.7423387,-74.00625,restaurant
Shokunin BBQ,952 60th St,11219,japanese,40.63328762,-74.00621644,restaurant
Employees Only,510 Hudson St,10014,american,40.73343,-74.00617,restaurant
Mémé Mediterranean,581 Hudson St,10014,seafood,40.736412,-74.00616,restaurant
Num Pang Kitchen,75 9th Ave,10011,vietnamese,40.74242509,-74.00612513,restaurant
San Marino Ristorante,66 Charlton St,10014,italian,40.72697,-74.00611,restaurant
Los Tacos No.1,75 9th Ave,10011,mexican,40.7425547,-74.0060838,restaurant
The Lobster Place,75 9th Ave,10011,seafood,40.74274139,-74.00601181,restaurant
Brooklyn Chop House,150 Nassau St,10038,chinese,40.7115099,-74.00597,restaurant
Cull & Pistol Oyster Bar,75 9th Ave,10011,seafood,40.74265894,-74.00592854,restaurant
Bennie's Thai Cafe,88 Fulton St,10038,thai,40.709202,-74.005836,restaurant
Casa Taqueria,40 Gold St,10038,mexican,40.70875,-74.00583,restaurant
Bâtard,239 West Broadway,10013,american,40.7195533,-74.00579829,restaurant
Indian Bollywood Drama,88 Fulton St,10038,indian,40.70912,-74.00578,restaurant
Tandoor Palace,88 Fulton St,10038,indian,40.70917033,-74.00576636,restaurant
La Sirène-Soho,558 Broome St,10013,seafood,40.72436422,-74.00570869,restaurant
Atera,77 Worth St,10013,american,40.71694,-74.0057,restaurant
Los Mariscos,409 W 15th St,10011,seafood,40.74207,-74.00565,restaurant
Seed + Mill,409 W 15th St,10011,healthy,40.7420723,-74.0056454,restaurant
Hole in the Wall,15 Cliff St,10038,american,40.70837,-74.00563,restaurant
Helen's,22 1/2 Ninth Ave,10014,american,40.74029833,-74.00562667,restaurant
Cookshop,156 10th Ave,10011,american,40.7454251,-74.0056084,restaurant
Red Paper Clip,120 Christopher St,10014,american,40.73311,-74.0056,restaurant
Dos Caminos,675 Hudson St,10014,mexican,40.74043305,-74.00547534,restaurant
Two Hands,251 Church St,10013,american,40.71782,-74.00547,restaurant
AOA Bar & Grill,35 Ave Of The Americas,10013,pizza,40.72068785,-74.00544055,restaurant
Brunetti Pizza,626 Hudson St,10014,pizza,40.73829,-74.0054,restaurant
SHOJI at 69 Leonard St,69 Leonard St,10013,japanese,40.71772,-74.00538,restaurant
Fiaschetteria Pistoia,114 Christopher St,10014,italian,40.73316,-74.00537,restaurant
Moustache Pitza,90 Bedford St,10014,pizza,40.73235455,-74.00529382,restaurant
Mole,57 Jane St,10014,mexican,40.73822,-74.00524,restaurant
Tetsu,78 Leonard St,10013,japanese,40.71733,-74.0052,restaurant
Avocaderia,269 11th Ave,10001,healthy,40.7518801,-74.005134,restaurant
L'Artusi,228 W 10th St,10014,italian,40.733714,-74.005068,restaurant
I Sodi,105 Christopher St,10014,italian,40.73347473,-74.00501251,restaurant
I Love Panzerotti,220 Varick St,10014,pizza,40.72901,-74.005,restaurant
Pho 60,1001 60th St,11219,vietnamese,40.63286105,-74.00495969,restaurant
Gitano Jungle Room,23 Grand St,10013,mexican,40.72279,-74.00491,restaurant
Café Altro Paradiso,234 Spring St,10013,italian,40.72549,-74.00489,restaurant
Industry Kitchen,70 South St,10005,american,40.70494347,-74.00488257,restaurant
Keste Fulton,66 Gold St,10038,italian,40.709239,-74.004869,restaurant
B Flat,277 Church St,10013,japanese,40.71856441,-74.00484344,restaurant
Roast Kitchen,199 Water St,10038,healthy,40.70683398,-74.00482674,restaurant
Da Mikele by Luzzo's,275 Church St,10013,pizza,40.718477,-74.004802,restaurant
Buddakan,75 9th Ave,10011,thai,40.74227627,-74.0048001,restaurant
GST Greenwich Sports Tavern Village,1 7th Ave S,10014,american,40.72975,-74.0048,restaurant
Shigure,277 Church St,10013,japanese,40.71853,-74.00477,restaurant
Pho Get About Mi,353 W 14th St,10014,vietnamese,40.7408261,-74.0047136,restaurant
MOMO CURRY,353 W 14th St,10014,japanese,40.7408261,-74.0047136,restaurant
Eatwell,353 W 14th St,10014,healthy,40.7408261,-74.0047136,restaurant
Enzo Bruni La Pizza Gourmet,353 W 14th St,10014,pizza,40.7408261,-74.0047136,restaurant
Mao’s Bao,4059 High Line,10011,chinese,40.74807149,-74.00470625,restaurant
Little Italy Pizza,50 Fulton St,10038,pizza,40.70810418,-74.0046898,restaurant
Laojie Hotpot,811 53rd St,11220,korean,40.63897093,-74.00468469,restaurant
Juban,207 10th Ave,10011,japanese,40.74731,-74.00467,restaurant
Toriko NY,76 Carmine St,10014,japanese,40.72943,-74.00466,restaurant
Ayada Thai - Chelsea Market,75 9th Ave,10011,thai,40.74222,-74.00466,restaurant
Takeshi Sushi,28 Grand St,10013,japanese,40.72294,-74.00464,restaurant
Spunto,65 Carmine St,10014,pizza,40.7297584,-74.0046303,restaurant
Mission Ceviche,353 W 14th St,10014,seafood,40.74108,-74.004628,restaurant
Canal Street Oysters,380 Canal St,10013,seafood,40.72103,-74.00461,restaurant
Lupe's,110 Ave Of The Americas,10013,mexican,40.72369,-74.0045776,restaurant
Jajaja,63 Carmine St,10014,mexican,40.72979,-74.00455,restaurant
Sushi Nakazawa,23 Commerce St,10014,japanese,40.73174652,-74.00454938,restaurant
Anejo Tribeca,301 Church St,10013,mexican,40.7193829,-74.004417,restaurant
Hao Noodle Chelsea,343 W 14th St,10014,korean,40.7406999,-74.00436,restaurant
Buvette,42 Grove St,10014,american,40.732704,-74.004317,restaurant
Gilligan's at Soho Grand,310 W Broadway,10013,seafood,40.722017,-74.004306,restaurant
Tavern on Jane,31 8th Ave,10014,american,40.73822,-74.00426,restaurant
Trading Post,170 John St,10038,seafood,40.7059604,-74.0041871,restaurant
Westville West,210 W 10th St,10014,american,40.7340046,-74.0041863,restaurant
by CHLOE. Seaport District,181 Front St,10038,healthy,40.70657,-74.00418,restaurant
Sushi on Jones,210 W 10th St,10014,japanese,40.73399,-74.00418,restaurant
La Loteria,29 7th Ave S,10014,mexican,40.73078655,-74.00413595,restaurant
Rafele Ristorante,29 7th Ave S,10014,italian,40.73094712,-74.00411718,restaurant
Belle Reve,305 Church St,10013,american,40.7194897,-74.00411439,restaurant
Luchadores,87 South St,10038,mexican,40.70582,-74.00411,restaurant
Sola Pasta Bar,330 W Broadway,10013,italian,40.72229,-74.00403,restaurant
Shuraku,47 8th Ave,10014,japanese,40.73854466,-74.00400711,restaurant
omakase room by maaser,321 Bleecker St,10014,japanese,40.73316,-74.004,restaurant
Windrose,39 Downing St,10014,seafood,40.72933,-74.00392,restaurant
Co Ba,110 9th Ave,10011,vietnamese,40.74313354,-74.00387573,restaurant
MAMO Restaurant,323 W Broadway,10013,italian,40.72186,-74.00382,restaurant
Philippe Downtown,355 W 16th St,10011,chinese,40.74213,-74.0038,restaurant
Codino,62 Carmine St,10014,italian,40.73006435,-74.00379367,restaurant
Market Table,54 Carmine St,10014,american,40.72976593,-74.00376653,restaurant
Calle Dao - Chelsea,461 W 23rd St,10011,seafood,40.7476515,-74.0037312,restaurant
The Woo,206 Spring St,10012,korean,40.7253,-74.00371,restaurant
Aquagrill,210 Spring St,10012,seafood,40.72535456,-74.00370109,restaurant
Via Carota,51 Grove St,10014,italian,40.7331,-74.00369,restaurant
Urban Vegan Kitchen,41 Carmine St,10014,healthy,40.7302,-74.00368,restaurant
Papatzul,55 Grand St,10013,mexican,40.722148,-74.003677,restaurant
Bleecker Street Pizza,69 7th Ave S,10014,pizza,40.7320627,-74.00365523,restaurant
Frankie Goes To Bollywood,204 Spring St,10012,indian,40.72526,-74.00364,restaurant
Flip'n Toss,82 Christopher St,10014,american,40.73341,-74.00364,restaurant
Mama Tere Taverna,887 5th Ave,11232,american,40.65136,-74.00361,restaurant
SUGARFISH by sushi nozawa,202 Spring St,10012,japanese,40.72511,-74.00358,restaurant
Bodega Negra,355 W 16th St,10011,mexican,40.74214144,-74.00357819,restaurant
Saluggi's,325 Church St,10013,pizza,40.720104,-74.003578,restaurant
Cotenna,21 Bedford St,10014,italian,40.72903,-74.00357,restaurant
Fish,280 Bleecker St,10014,seafood,40.731734,-74.003463,restaurant
Ciccio,190 6th Ave,10013,italian,40.72632633,-74.00344712,restaurant
Grounded,28 Jane St,10014,vietnamese,40.73806,-74.0034,restaurant
Altesi Downtown,200 Spring St,10012,pizza,40.72511,-74.00333,restaurant
Hakata Tonton,61 Grove St,10014,korean,40.733234,-74.003326,restaurant
John's of Bleecker Street,278 Bleecker St,10014,pizza,40.73158,-74.00332,restaurant
Attraversa West Village,14 Bedford St,10014,italian,40.72900586,-74.00331282,restaurant
Taco Mahal,73 7th Ave S,10014,mexican,40.732337,-74.003303,restaurant
Ghandi Cafe,283 Bleecker St,10014,indian,40.73194,-74.0033,restaurant
Rocky's Pizza 14th St,304 W 14th St,10014,pizza,40.740022,-74.003288,restaurant
Mary's Fish Camp,64 Charles St,10014,seafood,40.7348192,-74.0032416,restaurant
Revolution Sandwich NY,52 Walker St,10013,indian,40.7191286,-74.0032257,restaurant
Blind Tiger Ale House,281 Bleecker St,10014,american,40.731926,-74.003223,restaurant
Piccola Cucina Osteria,196 Spring St,10012,seafood,40.72506,-74.00322,restaurant
Nami Nori,33 Carmine St,10014,korean,40.730284,-74.003212,restaurant
The Little Taco House,246 West 4th St,10014,mexican,40.73475,-74.00321,restaurant
Village Pizza,65 8th Ave,10014,pizza,40.73927,-74.00321,restaurant
Aurora Soho,510 Broome St,10013,italian,40.723543,-74.003199,restaurant
Trattoria Pesce Pasta,262 Bleecker St,10014,italian,40.73115,-74.00319,restaurant
Clay Pot - West Village,270 Bleeker St,10014,chinese,40.73138,-74.00319,restaurant
Hirohisa,73 Thompson St,10012,japanese,40.724597,-74.003174,restaurant
Lola Taverna,210 6th Ave,10014,healthy,40.727093,-74.003158,restaurant
India's Curry,1926 Bath Ave,11214,indian,40.60197,-74.00312,restaurant
Chop Shop,254 10th Ave,10001,thai,40.7486687,-74.0031128,restaurant
Faicco's Italian Specialties,260 Bleecker St,10014,italian,40.73113,-74.00306,restaurant
Gia Lam,4810 8th Ave,11220,vietnamese,40.64211,-74.00304,restaurant
Empellón Taqueria,230 W 4th St,10014,mexican,40.7341219,-74.0030294,restaurant
Ovest Pizzoteca by Luzzo's,513 W 27th St,10001,italian,40.75074768,-74.00302124,restaurant
Lum Dee Thai Cuisine,218 Columbia St,11231,thai,40.68471,-74.00301,restaurant
Cipriani Downtown,376 W Broadway,10012,italian,40.723567,-74.003003,restaurant
Piccola Cucina Estiatorio,75 Thompson St,10012,italian,40.7246,-74.0029799,restaurant
Sevilla Restaurant,62 Charles St,10014,seafood,40.73487259,-74.00297083,restaurant
Gotham Pizza,144 9th Ave,10011,pizza,40.74381,-74.00295,restaurant
Keste,271 Bleecker St,10014,italian,40.73154,-74.00293,restaurant
Taqueria Meza,95 7th Ave S,10014,mexican,40.7330017,-74.002915,restaurant
Boucherie West Village,99 7th Ave S,10014,seafood,40.733063,-74.0028772,restaurant
Via Trenta Pizzoteca,536 W 30th St,10001,pizza,40.75299343,-74.00286302,restaurant
Shuka,38 Macdougal St,10012,american,40.72707,-74.00283,restaurant
North River Lobster Co,Pier 81 W 41st St,10036,seafood,40.76196869,-74.00282379,restaurant
10 Corso Como,200 Front St,10038,italian,40.707053,-74.00278,restaurant
Numero 28 Pizzeria - West Village,28 Carmine St,10014,pizza,40.73012,-74.00275,restaurant
Tacombi - Bleecker Street,255 Bleecker St,10014,mexican,40.73112,-74.00272,restaurant
Bar Sardine,183 W 10th St,10014,american,40.73438421,-74.002701,restaurant
Taco Playa,212 Front St,10038,mexican,40.70737,-74.00269,restaurant
BOBO,181 W 10th St,10014,american,40.73448944,-74.00262451,restaurant
Kahlo,525 West 29th Street,10001,mexican,40.75218,-74.0026,restaurant
IL Brigante,214 Front St,10038,italian,40.707492,-74.002571,restaurant
Mr. Jones Supper Club,22 Jones St,10014,seafood,40.7317819,-74.0025704,restaurant
The Drunken Munkey - West Village,31 Cornelia St,10014,indian,40.73136,-74.00253,restaurant
Blue Ribbon Sushi,119 Sullivan St,10012,japanese,40.72612,-74.0025299,restaurant
Wolfnights,235 Bleecker St,10014,healthy,40.7306,-74.00252,restaurant
Boat Haus,4807 8th Ave,11220,seafood,40.641868,-74.002517,restaurant
Sunrise Mart,494 Broome St,10012,japanese,40.7232311,-74.0025149,restaurant
Famous Ben's Pizza,177 Spring St,10012,pizza,40.72491,-74.00244,restaurant
Agave - New York,488 3rd Ave,10016,mexican,40.734999,-74.002438,restaurant
Emmett's,50 Macdougal St,10012,american,40.727303,-74.00243,restaurant
Agave,140 7th Ave S,10014,mexican,40.734767,-74.002415,restaurant
Blossom,187 9th Ave,10011,vietnamese,40.745513,-74.002365,restaurant
Palma,28 Cornelia St,10014,italian,40.73115,-74.00233,restaurant
Dos Toros Taqueria,11 Carmine St,10014,mexican,40.73062,-74.0023,restaurant
Dorlan's Tavern & Oyster Bar,213 Front St,10038,seafood,40.70726,-74.00227,restaurant
