Name,Address,Postcode,Type,Latitude,Longitude,Category
Forest Thai Cuisine,1211 Forest Ave,10310,thai,40.626653,-74.13033,restaurant
Call It A Wrap,1198 Forest Ave,10310,healthy,40.62609,-74.1298599,restaurant
Tokyo Sushi Japanese,1710 Victory Blvd,10314,korean,40.613259,-74.12064,restaurant
Taqueria El Gallo Azteca,75 Victory Blvd,10301,mexican,40.63842,-74.07867,restaurant
Chang Noi Thai,100 Stuyvesant Pl,10301,thai,40.64370404,-74.07760292,restaurant
Lakruwana,668 Bay St,10304,indian,40.62571,-74.075373,restaurant
Positano Restaurant,10018 4th Ave,11209,italian,40.6127378,-74.0339271,restaurant
Kim Chee Korean Restaurant,9324 3rd Ave,11209,korean,40.618129,-74.033546,restaurant
Bombay Grill,8716 3rd Ave,11209,indian,40.62238,-74.03183,restaurant
Taqueria El Puente,9300 5th Ave,11209,mexican,40.61667,-74.03052,restaurant
MyThai Cafe,7803 3rd Ave,11209,thai,40.6290065,-74.0286205,restaurant
Brother's Asian Cuisine,8621 4th Ave,11209,vietnamese,40.62209,-74.02844,restaurant
Glow Thai,7107 3rd Ave,11209,thai,40.63394,-74.02661,restaurant
Coszcal De Allende,6824 3rd Ave,11220,mexican,40.63617,-74.0262,restaurant
South Brooklyn Foundry,6909 3rd Ave,11209,american,40.63539,-74.02602,restaurant
Indian Food & Falafel,6742 5th Ave,11220,indian,40.634593,-74.020967,restaurant
Ningbo Cafe,21 S End Ave,10280,chinese,40.7081329,-74.018318,restaurant
Pier A Harbor House,22 Battery Pl,10004,seafood,40.704364,-74.018051,restaurant
Miramar,21 S End Ave,10280,seafood,40.70814,-74.01779,restaurant
Merchants River House,375 S End Ave,10280,american,40.71128823,-74.01761759,restaurant
Inatteso Pizzabar Casano,28 West St,10004,italian,40.7056571,-74.0172056,restaurant
HOEK PIZZA,117 Ferris St,11231,pizza,40.6779064,-74.0169529,restaurant
Parm,Brookfield Pl,10080,italian,40.71445101,-74.01610831,restaurant
Hometown Bar-B-Que,454 Van Brunt St,11231,korean,40.67489657,-74.01604897,restaurant
Northern Tiger,225 Liberty St,10281,chinese,40.71264629,-74.01601105,restaurant
Blue Ribbon Sushi Bar - Hudson Eats,225 Liberty St,10281,japanese,40.712693,-74.015839,restaurant
El Vez,259 Vesey St,10282,mexican,40.71473564,-74.015635,restaurant
El Vez Burrito Bar,259 Vesey St,10282,mexican,40.71473564,-74.015635,restaurant
Seamore's,250 Vesey St,10281,seafood,40.71418048,-74.01556782,restaurant
Wei West,235 Murray St,10282,thai,40.71497926,-74.01489604,restaurant
East Harbor Seafood Palace,714 65th St,11220,seafood,40.633533,-74.014343,restaurant
Sauce & Barrel,97 Washington St,10006,pizza,40.707999,-74.0142651,restaurant
Jiangnan Chinese Cuisine,103 Washington St,10006,chinese,40.70838,-74.01408,restaurant
Viet Sandwich Cart,3 Pearl St,10004,vietnamese,40.7032747,-74.0140795,restaurant
Cafe De Novo,94 1/2 Greenwich St,10006,korean,40.70812083,-74.01381102,restaurant
Bao Bao Cafe,106 Greenwich St,10006,seafood,40.70854,-74.01367,restaurant
Tajin,85 Greenwich St,10006,mexican,40.70772,-74.01356,restaurant
Ruchi,120 Cedar St,10006,indian,40.709532,-74.012702,restaurant
O'Hara's Restaurant and Pub,120 Cedar St,10006,american,40.70934736,-74.01225574,restaurant
Antica Ristorante,8 Stone St,10004,italian,40.70393551,-74.01217318,restaurant
Thanh Da,6008 7th Ave,11220,vietnamese,40.6366875,-74.0120874,restaurant
Steve's Pizza,110 Trinity Pl,10006,pizza,40.70949059,-74.01200954,restaurant
Thai Street Food,89 Broadway,10006,thai,40.7077189,-74.0119285,restaurant
Broadstone Bar & Kitchen,88 Broad St,10004,american,40.70411,-74.01186,restaurant
Baby Olive,1402 86th St,11228,healthy,40.61246,-74.01177,restaurant
Grill Master•Brooklyn,717 61st St,11220,seafood,40.6359732,-74.0116674,restaurant
99 Favor Taste,732 61st St,11220,korean,40.6355691,-74.0115482,restaurant
Cuisine K,242-258 Greenwich St,10007,korean,40.71455755,-74.01150816,restaurant
Holy Crab Boiling,5915 7th Ave,11220,seafood,40.63698,-74.01139,restaurant
Mark's Red Hook Pizza,326 Van Brunt St,11231,pizza,40.6788288,-74.0113214,restaurant
Hot Pot 828,828 64th St,11220,seafood,40.632588,-74.011293,restaurant
Trinity Place,115 Broadway,10006,american,40.708865,-74.01117,restaurant
Bombay's Indian Restaurant,60 Pearl St,10004,indian,40.70344,-74.01109,restaurant
Shorty's,62 Pearl St,10004,american,40.7034454,-74.0110779,restaurant
Korean Tofu House,763 61st St,11220,korean,40.63536,-74.01069,restaurant
OBAO,38 Water St,10004,vietnamese,40.70332,-74.01065,restaurant
Kevin's,277A Van Brunt St,11231,seafood,40.67918048,-74.01059603,restaurant
Bombay Biryany Cart,Broadway & Liberty St,10005,indian,40.7090804,-74.01059031,restaurant
Salaam Bombay,319 Greenwich St,10013,indian,40.7171105,-74.0105843,restaurant
No.1 Chinese Restaurant,10 S William St,10004,chinese,40.70466718,-74.01054904,restaurant
The Cauldron NYC,47 Stone St,10004,american,40.7043756,-74.0105259,restaurant
Terrace Fish & Chips,77 Pearl St,10004,seafood,40.704044,-74.01049,restaurant
L' Angolo Tribeca,190-A Duane St,10013,italian,40.71734,-74.01044,restaurant
VCafe,345 Greenwich St,10013,vietnamese,40.718499,-74.0103228,restaurant
Mad Dog & Beans Mexican Cantina,83 Pearl St,10004,mexican,40.704168,-74.010261,restaurant
Kome Waza,40 Water St,10004,healthy,40.70351,-74.01024,restaurant
Mariachi's,156 Chambers St,10007,mexican,40.715751,-74.010219,restaurant
Adrienne's Pizzabar,54 Stone St,10004,pizza,40.7043362,-74.0101733,restaurant
Biryani House Cart,140 Broadway,10005,indian,40.70865,-74.01011,restaurant
China Blue,135 Watts St,10013,vietnamese,40.724038,-74.009958,restaurant
Dig Inn,412 Greenwich St,10013,american,40.72188,-74.00995,restaurant
American Cut Steakhouse Tribeca,363 Greenwich St,10013,american,40.71915,-74.00994,restaurant
Sushi Azabu,428 Greenwich St,10013,japanese,40.72229303,-74.0098838,restaurant
Neapolitan Express,40 Wall St,10005,pizza,40.707015,-74.009735,restaurant
Thalassa Restaurant,179 Franklin St,10013,seafood,40.7193085,-74.0095971,restaurant
Marc Forgione,134 Reade St,10013,seafood,40.71647,-74.0095599,restaurant
Xi’an Famous Foods,8 Liberty Pl,10038,chinese,40.709193,-74.009347,restaurant
Scalini Fedeli,165 Duane St,10013,italian,40.71739644,-74.00932775,restaurant
The Malt House,9 Maiden Ln,10038,american,40.709659,-74.009262,restaurant
Rosa Mexicano,41 Murray St,10007,mexican,40.71411135,-74.00926195,restaurant
TSAôCAA,773 59th St,11220,korean,40.63639,-74.00922,restaurant
Benares,45 Murray St,10007,indian,40.71415,-74.009209,restaurant
Tacos El Bronco,4324 4th Ave,11220,mexican,40.65006,-74.00915,restaurant
Great 8 Restaurant,5906 8th Ave,11220,vietnamese,40.63595229,-74.00913351,restaurant
Little Park,85 W Broadway,10007,american,40.71521,-74.00913,restaurant
